original_name	final_name
chrome-find-electric-cars-under-50000-within-50-miles-10001	037-electric-cars-under-50k
chrome-find-large-rental-car-zurich	038-zurich-rental-car
chrome-find-manchester-monthly-forecast	039-manchester-forecast
chrome-find-seattle-new-york-miles-flights	040-seattle-ny-miles-flight
chrome-find-similar-names-carl	041-baby-name-carl
chrome-list-black-sale-drip-coffee-makers	042-black-sale-coffee-makers
chrome-load-unpacked-hello-extension	043-load-hello-extension
chrome-open-saved-passwords	044-etsy-saved-passwords
chrome-open-united-baggage-fee-calculator	045-united-bag-fee-page
chrome-restore-last-closed-tab	046-restore-tripadvisor-tab
chrome-set-default-search-engine-to-bing	047-set-bing-search
chrome-show-tamiflu-side-effects	048-tamiflu-side-effects
gimp-background-transparent	049-remove-dog-background
gimp-batch-brightness-infeasible	050-batch-brighten-images
gimp-hide-docks	051-hide-left-dock
gimp-open-vignette	052-vignette-filter-window
gimp-palette-based	053-make-palette-png
gimp-raw-to-jpeg-infeasible	054-convert-raw-to-jpeg
gimp-resize-dog-layer	055-resize-dog-layer
gimp-textbox-left	056-move-textbox-left
gimp-undo-levels	057-set-undo-steps-100
impress-autosave-every-3-minutes	058-autosave-3-minutes
impress-create-summary-slide	059-make-summary-slide
impress-dark-red-whole-slide-and-underlined-body	060-underline-red-text
impress-features-slide-insert-5x2-table	061-insert-features-table
impress-insert-baseball-audio	062-add-baseball-audio
impress-slide-number-color-red	063-red-slide-numbers
impress-slide1-stretch-image-to-cover	064-stretch-cover-image
impress-slide3-image-20cm-and-slide6-text-40pt	065-resize-slide3-slide6
impress-slides346-image-heights-20-30-25cm	066-set-slide-image-heights
impress-slides3to5-first-textbox-alignments	067-align-slide-textboxes
impress-strikethrough-first-two-lines	068-strike-first-two-lines
multi-apps-02ce9a50-writer-i-am-currently-utilizing-libreoffice-writer	069-linux-ls-tutorial
multi-apps-09a37c51-writer-pic	070-edit-friend-image
multi-apps-227d2f97-writer-image	071-paste-image-docx
multi-apps-26660ad1-os-results	072-save-speedtest-results
multi-apps-2b9493d7-writer-hey-my-libreoffice-writer-seems-to	073-force-quit-frozen-doc
multi-apps-2c1ebcd7-multi-case-study	074-apa-references-review
multi-apps-2c9fc0de-os-could-you-help-me-push-the	075-push-daily-update
multi-apps-2fe4b718-vlc-src-clip	076-make-src-gif-clip
multi-apps-36037439-os-could-you-please-pull-up-the	077-corresponding-scholar-url
multi-apps-3a93cae4-os-could-you-please-add-a-two	078-add-wednesday-lecture
multi-apps-3f05f3b9-os-i-have-a-collection-of-mp3s	079-fix-mp3-metadata
multi-apps-42d25c08-chrome-hey-my-friend-has-just-sent	080-convert-novel-epub
multi-apps-47f7c0ce-impress-the-landscape-at-00-08-in	081-video-frame-slide-bg
multi-apps-4c26e3f3-gimp-back	082-brighten-slide-image
multi-apps-5bc63fb9-writer-gemini-results	083-gemini-responses-docx
multi-apps-69acbb55-os-i-m-working-on-word-embedding	084-install-word-embedding
multi-apps-74d5859f-chrome-help-me-to-set-up-an	085-webext-happy-scaffold
multi-apps-7ff48d5b-chrome-alllocations	086-futian-checkin-addresses
multi-apps-81c425f5-writer-price	087-spreadsheet-to-doc-table
multi-apps-82e3c869-os-please-sift-through-the-folder-with	088-extract-presenter-photos
multi-apps-873cafdd-install-recommended-chrome-extensions	089-install-recommended-exts
multi-apps-881deb30-calc-i-want-to-find-a-faculty	090-ecs-grf-pass-rates
multi-apps-8e116af7-calc-my-bookkeeping	091-add-receipts-bookkeeping
multi-apps-9219480b-vscode-hi-i-recently-playing-with-developing	092-fix-tetris-bug
multi-apps-98e8e339-vscode-concat	093-merge-txt-document
multi-apps-a82b78bb-bookmark-liked-authors	094-author-homepage-bookmarks
multi-apps-aad10cd7-os-notes	095-save-apple-searching-page
multi-apps-b5062e3e-calc-authors	096-first-author-table
multi-apps-bb83cab4-writer-script	097-slides-to-document
multi-apps-c2751594-thunderbird-help-me-export-the-first-image	098-extract-email-doc-image
multi-apps-c7c1e4c3-calc-professor-contact	099-professor-contact-info
multi-apps-ce2b64a2-chrome-there-are-several-pictures-of-mountains	100-name-mountain-photos
multi-apps-d68204bf-gimp-rearranged	101-rearrange-warm-tiles
multi-apps-d9b7c649-thunderbird-report	102-daily-email-report
multi-apps-da922383-chrome-i-browsed-a-lot-of-interesting	103-download-blog-pdfs
multi-apps-deec51c9-calc-new-large-language-models	104-arxiv-llm-workbook
multi-apps-f8cfa149-calc-could-you-help-me-copy-the	105-search-cell-b6
os-create-charles-ssh-user-home-test1	106-create-charles-ssh-user
thunderbird-attach-aws-bill-to-draft	107-attach-aws-bill
thunderbird-create-company-and-university-folders	108-create-mail-folders
thunderbird-fill-outlook-account-setup	109-setup-outlook-account
vlc-rotate-apple-macintosh-video-upright	110-rotate-macintosh-video
vlc-set-interstellar-frame-as-wallpaper	111-set-video-wallpaper
vlc-snapshot-interstellar-frame	112-capture-video-frame
vscode-add-data1-data2-to-workspace	113-add-folders-workspace
vscode-auto-create-test-py-on-startup-infeasible	114-auto-create-test-py
vscode-remove-ctrl-f-tree-view-find-keybinding	115-remove-explorer-find-key
writer-add-bottom-left-page-numbers	116-bottom-left-page-numbers
writer-convert-comma-text-to-table	117-comma-text-to-table
writer-set-times-new-roman-throughout	118-set-times-new-roman
writer-tabstops-first-three-words	119-tabstop-sentence-split
